model,method,fold,train_rows,calibration_rows,evaluation_rows,train_end,calibration_start,calibration_end,eval_start,eval_end,observed_delinquency_rate,mean_predicted_risk,calibration_in_the_large_error,roc_auc,average_precision,brier,ece_10bin,top20_capture
random_forest,uncalibrated,late_june,14355,19292,29548,2016-06-06,2016-06-07,2016-06-13,2016-06-14,2016-06-23,0.16468119669689996,0.11511033633782461,-0.04957086035907535,0.8233686083363448,0.6616914072195115,0.08841595522225916,0.05680864770133152,0.6426222770242499
random_forest,platt,late_june,14355,19292,29548,2016-06-06,2016-06-07,2016-06-13,2016-06-14,2016-06-23,0.16468119669689996,0.1343323510314194,-0.030348845665480545,0.8233686083363448,0.6616914072195115,0.08602477890448017,0.04043638680957391,0.6426222770242499
random_forest,isotonic,late_june,14355,19292,29548,2016-06-06,2016-06-07,2016-06-13,2016-06-14,2016-06-23,0.16468119669689996,0.1320897572710978,-0.03259143942580214,0.8226240075444821,0.646801796048643,0.0859102317654568,0.04048333287553444,0.6391286477599671
xgboost,uncalibrated,late_june,14355,19292,29548,2016-06-06,2016-06-07,2016-06-13,2016-06-14,2016-06-23,0.16468119669689996,0.09737018117408916,-0.0673110155228108,0.8754614096153046,0.7185080885866958,0.08802128980719798,0.07811301022413149,0.7038635429510892
xgboost,platt,late_june,14355,19292,29548,2016-06-06,2016-06-07,2016-06-13,2016-06-14,2016-06-23,0.16468119669689996,0.12652331568576855,-0.038157881011131406,0.8754614096153046,0.7185080885866958,0.0808788589979645,0.046838294647074605,0.7038635429510892
xgboost,isotonic,late_june,14355,19292,29548,2016-06-06,2016-06-07,2016-06-13,2016-06-14,2016-06-23,0.16468119669689996,0.1251259780157052,-0.03955521868119474,0.8748962387262652,0.708722061244581,0.08034001323671755,0.04650042164652645,0.7038635429510892
random_forest,uncalibrated,turn_of_month,42449,20746,28728,2016-06-16,2016-06-17,2016-06-23,2016-06-24,2016-07-03,0.15695488721804512,0.14100862640945522,-0.015946260808589907,0.8459907652569029,0.5612112257819791,0.10064170093804133,0.03931033470678343,0.6336216455976935
random_forest,platt,turn_of_month,42449,20746,28728,2016-06-16,2016-06-17,2016-06-23,2016-06-24,2016-07-03,0.15695488721804512,0.12749699501479148,-0.02945789220325365,0.8459907652569029,0.5612112257819791,0.10223879088143964,0.04983200535651168,0.6336216455976935
random_forest,isotonic,turn_of_month,42449,20746,28728,2016-06-16,2016-06-17,2016-06-23,2016-06-24,2016-07-03,0.15695488721804512,0.12396233905137156,-0.03299254816667356,0.8453355388309955,0.5492781072729908,0.09968813043744515,0.048506456943560386,0.6338434242625859
xgboost,uncalibrated,turn_of_month,42449,20746,28728,2016-06-16,2016-06-17,2016-06-23,2016-06-24,2016-07-03,0.15695488721804512,0.12488590771593795,-0.03206897950210717,0.8318562053764758,0.5406178491970346,0.10665528655150618,0.06856468956620322,0.5839432246617875
xgboost,platt,turn_of_month,42449,20746,28728,2016-06-16,2016-06-17,2016-06-23,2016-06-24,2016-07-03,0.15695488721804512,0.11853921617333292,-0.038415671044712205,0.8318562053764758,0.5406178491970346,0.10390025563516375,0.05698920149032312,0.5839432246617875
xgboost,isotonic,turn_of_month,42449,20746,28728,2016-06-16,2016-06-17,2016-06-23,2016-06-24,2016-07-03,0.15695488721804512,0.11616488069707184,-0.04079000652097328,0.8299122882275418,0.5278479995222622,0.10323053201125515,0.058963986193817874,0.5872699046351741
random_forest,uncalibrated,early_july,71837,20086,30196,2016-06-26,2016-06-27,2016-07-03,2016-07-04,2016-07-13,0.18220956418068618,0.1603319910277758,-0.02187757315291039,0.8327180376650625,0.5388503207020596,0.11719645704339464,0.04815131967324968,0.5812431842966194
random_forest,platt,early_july,71837,20086,30196,2016-06-26,2016-06-27,2016-07-03,2016-07-04,2016-07-13,0.18220956418068618,0.12636998662127535,-0.055839577559410825,0.8327180376650625,0.5388503207020596,0.12534250288833867,0.06965154446797582,0.5812431842966194
random_forest,isotonic,early_july,71837,20086,30196,2016-06-26,2016-06-27,2016-07-03,2016-07-04,2016-07-13,0.18220956418068618,0.13263237000182235,-0.04957719417886383,0.8316338953531316,0.5251580987239898,0.11580581774792374,0.05029088232610099,0.5817884405670665
xgboost,uncalibrated,early_july,71837,20086,30196,2016-06-26,2016-06-27,2016-07-03,2016-07-04,2016-07-13,0.18220956418068618,0.12111244048546134,-0.06109712369522484,0.8199060609456992,0.5009588519360705,0.12486746655728086,0.07361205067299134,0.5439840058160669
xgboost,platt,early_july,71837,20086,30196,2016-06-26,2016-06-27,2016-07-03,2016-07-04,2016-07-13,0.18220956418068618,0.11255071020293138,-0.0696588539777548,0.8199060609456992,0.5009588519360705,0.1278526527762663,0.07203180924845808,0.5439840058160669
xgboost,isotonic,early_july,71837,20086,30196,2016-06-26,2016-06-27,2016-07-03,2016-07-04,2016-07-13,0.18220956418068618,0.11182457607314734,-0.07038498810753883,0.8195357302057665,0.4865418147725235,0.12418247556369695,0.07099544713461546,0.5450745183569611
