feature,direction,delta_in_feature_units,sample_rows,mean_probability_change,median_probability_change,median_abs_probability_change,p95_abs_probability_change,max_abs_probability_change,share_abs_change_ge_5pp,share_abs_change_ge_10pp
cnt_ma_rech90,decrease,-0.4,2000,-5.814793091474258e-17,0.0,0.0,0.0,6.167288901792745e-14,0.0,0.0
cnt_ma_rech90,increase,0.4,2000,-2.4619195571062847e-17,0.0,0.0,0.0,6.167288901792745e-14,0.0,0.0
sumamnt_ma_rech90,decrease,-786.1,2000,0.006577442378000155,0.0,0.0,0.053928277152871164,0.13001925433222478,0.051,0.009
sumamnt_ma_rech90,increase,786.1,2000,-0.009430538641873557,0.0,0.0,0.05631475297542596,0.12839653627948644,0.0705,0.0115
sumamnt_ma_rech30,decrease,-705.4000000000001,2000,0.0021552687474778198,0.0,0.0,0.018024946823586387,0.11061267855034829,0.009,0.0015
sumamnt_ma_rech30,increase,705.4000000000001,2000,-0.005229930238015362,0.0,0.0,0.038679375604365185,0.12437300501595994,0.03,0.002
cnt_ma_rech30,decrease,-0.4,2000,-5.814793091474258e-17,0.0,0.0,0.0,6.167288901792745e-14,0.0,0.0
cnt_ma_rech30,increase,0.4,2000,-6.256106743762757e-17,0.0,0.0,0.0,6.167288901792745e-14,0.0,0.0
daily_decr30,decrease,-12.315400000000002,2000,-0.00017136875854674362,0.0,0.0,0.0,0.19105237031521471,0.0155,0.0035
daily_decr30,increase,12.315400000000002,2000,-0.004717076031480651,0.0,0.0,0.0,0.4672859605439571,0.0165,0.011
