feature,labelled_missing_rate,post23_missing_rate,missing_rate_change,labelled_min,labelled_max,post23_min,post23_max,post23_out_of_labelled_range_rate,labelled_median,post23_median,robust_median_shift_in_labelled_iqr,psi,psi_band
daily_decr30,0.0,0.0,0.0,-93.01266667,152719.7533,0.0,265926.0,0.00022099447513812155,119.025,9440.0,3.331576377104399,3.577777718975275,high
daily_decr90,0.0,0.0,0.0,-93.01266667,153627.26,0.0,320630.0,0.0006119847003824905,119.455,11028.85,3.87321826369709,3.4936220251647896,high
rental30,0.0,0.0,0.0,-23737.14,74214.44,-234.72,198926.11,0.0002379940501487463,743.44,3043.48,1.1737353221847426,0.6867182295286358,high
sumamnt_ma_rech90,0.0,0.0,0.0,0.0,953036.0,0.0,418133.0,0.0,5491.0,13882.0,0.7927255550307039,0.5038616373015328,high
cnt_ma_rech90,0.0,0.0,0.0,0.0,132.0,0.0,336.0,6.799830004249894e-05,3.0,7.0,0.6666666666666666,0.4700833795936056,high
last_rech_amt_ma,0.0,0.0,0.0,0.0,55000.0,0.0,55000.0,0.0,1539.0,1539.0,0.0,0.33745227684997636,high
medianamnt_ma_rech30,0.0,0.0,0.0,0.0,55000.0,0.0,55000.0,0.0,1539.0,1539.0,0.0,0.24896379547954559,moderate
sumamnt_ma_rech30,0.0,0.0,0.0,0.0,810096.0,0.0,275010.0,0.0,4048.0,6357.0,0.299909079101182,0.12405334144549764,moderate
cnt_ma_rech30,0.0,0.0,0.0,0.0,115.0,0.0,203.0,1.6999575010624735e-05,3.0,4.0,0.25,0.09655589227056321,low
last_rech_date_ma,0.013703263976864964,0.0050318742031449214,-0.008671389773720043,0.0,89.0,0.0,113.0,0.0007989800254993625,3.0,3.0,0.0,0.08334131913716444,low
medianmarechprebal90,0.0,0.0,0.0,-200.0,41456.5,-200.0,27544.1,0.0,33.5,41.33,0.11957849725106899,0.0768691286469317,low
aon,0.020176829146961867,0.009961750956226095,-0.010215078190735772,1.0,2404.0,1.0,2440.0,0.0004079898002549936,506.0,572.0,0.0930888575458392,0.0470691688238159,low
