case,holdout_index,quantile_target,observed_outcome,raw_risk,calibrated_risk,base_value,importance_rank,feature,feature_value,shap_value,abs_shap,direction
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,1,cnt_ma_rech90,18.0,-0.10690956465872471,0.10690956465872471,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,2,sumamnt_ma_rech90,14816.0,-0.07971760938049971,0.07971760938049971,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,3,sumamnt_ma_rech30,10778.0,-0.06214520012510622,0.06214520012510622,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,4,cnt_ma_rech30,12.0,-0.0587458722122041,0.0587458722122041,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,5,daily_decr30,10119.985,-0.03608870509505005,0.03608870509505005,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,6,last_rech_date_ma,1.0,-0.03097540501815375,0.03097540501815375,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,7,daily_decr90,10165.97,-0.01897505399039586,0.01897505399039586,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,8,rental30,1820.49,0.012245918229189266,0.012245918229189266,increases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,9,medianamnt_ma_rech30,770.0,-0.005586472055961398,0.005586472055961398,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,10,medianmarechprebal90,26.75,-0.0020884569652450426,0.0020884569652450426,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,11,last_rech_amt_ma,770.0,-0.0013224440375371688,0.0013224440375371688,decreases predicted delinquency risk
low_risk,64,0.1,0,0.10865717832553026,0.02169811320754717,0.5000000000000002,12,aon,469.0,-0.001033956364771085,0.001033956364771085,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,1,cnt_ma_rech90,6.0,-0.0761463601906363,0.0761463601906363,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,2,sumamnt_ma_rech90,12527.0,-0.05871597291299736,0.05871597291299736,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,3,medianmarechprebal90,104.5,-0.0348948086889345,0.0348948086889345,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,4,aon,119.0,0.03439885353775018,0.03439885353775018,increases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,5,cnt_ma_rech30,4.0,-0.031185068934975944,0.031185068934975944,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,6,sumamnt_ma_rech30,6156.0,-0.026795784736069608,0.026795784736069608,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,7,daily_decr30,6270.74,-0.023424853214327836,0.023424853214327836,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,8,last_rech_date_ma,8.0,0.014951710069686125,0.014951710069686125,increases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,9,daily_decr90,6302.48,-0.009096255179924932,0.009096255179924932,decreases predicted delinquency risk
