model,config_id,fold,train_rows,eval_rows,max_depth,min_samples_leaf,max_features,roc_auc,average_precision,brier,top20_capture,learning_rate,min_child_weight
random_forest,random_forest_01,late_june,33647,29548,8.0,20.0,sqrt,0.9132981595770789,0.7653707915918382,0.07164052140157579,0.7675709001233045,,
random_forest,random_forest_01,turn_of_month,63195,28728,8.0,20.0,sqrt,0.8582421798662425,0.5669643692047421,0.09746935182394258,0.6416056775338213,,
random_forest,random_forest_01,early_july,91923,30196,8.0,20.0,sqrt,0.8417314295571028,0.5625168318679258,0.13453255054119873,0.5830607051981098,,
random_forest,random_forest_02,late_june,33647,29548,12.0,20.0,sqrt,0.9099869826311521,0.7613204341861362,0.07253771276585637,0.7642827784628031,,
random_forest,random_forest_02,turn_of_month,63195,28728,12.0,20.0,sqrt,0.8552586529049063,0.5623743991216702,0.09812822754441924,0.6373918829008649,,
random_forest,random_forest_02,early_july,91923,30196,12.0,20.0,sqrt,0.841302397764486,0.5639261421743096,0.1365281243350887,0.5817884405670665,,
random_forest,random_forest_03,late_june,33647,29548,12.0,10.0,0.7,0.9020405734389857,0.7481861727974993,0.07652017382147756,0.7427044800657624,,
random_forest,random_forest_03,turn_of_month,63195,28728,12.0,10.0,0.7,0.8440582763161438,0.5416238715733702,0.10152710898678584,0.6101131071190952,,
random_forest,random_forest_03,early_july,91923,30196,12.0,10.0,0.7,0.8385586212831388,0.5645307226309266,0.13033164989565713,0.5848782260996002,,
random_forest,random_forest_04,late_june,33647,29548,,20.0,sqrt,0.9078605925739567,0.7598060455001623,0.07279252829391845,0.761816687217427,,
random_forest,random_forest_04,turn_of_month,63195,28728,,20.0,sqrt,0.8536172307197084,0.563879785636557,0.09808330825559272,0.6349523175870482,,
random_forest,random_forest_04,early_july,91923,30196,,20.0,sqrt,0.8405841958498226,0.5649026299235558,0.13570260640025522,0.5806979280261723,,
xgboost,xgboost_01,late_june,33647,29548,3.0,,,0.9192945945255546,0.7690857765593497,0.06918266415596008,0.769009453349774,0.05,5.0
xgboost,xgboost_01,turn_of_month,63195,28728,3.0,,,0.8201007731704791,0.5345419719518375,0.10482806712388992,0.5815036593479708,0.05,5.0
xgboost,xgboost_01,early_july,91923,30196,3.0,,,0.8435843124055084,0.5452503768674354,0.1446370631456375,0.5846964740094511,0.05,5.0
xgboost,xgboost_02,late_june,33647,29548,4.0,,,0.920958409297543,0.7740956448171384,0.06891924142837524,0.7696259761611179,0.05,5.0
xgboost,xgboost_02,turn_of_month,63195,28728,4.0,,,0.8328562834783886,0.5415732953775718,0.10432733595371246,0.5925925925925926,0.05,5.0
xgboost,xgboost_02,early_july,91923,30196,4.0,,,0.8446886915106627,0.5582100655373001,0.1463460475206375,0.5877862595419847,0.05,5.0
xgboost,xgboost_03,late_june,33647,29548,5.0,,,0.9198785451893419,0.7727633640858094,0.06968516111373901,0.7681874229346486,0.05,5.0
xgboost,xgboost_03,turn_of_month,63195,28728,5.0,,,0.8416578810027019,0.5507935141744603,0.10305532813072205,0.5994677312042581,0.05,5.0
xgboost,xgboost_03,early_july,91923,30196,5.0,,,0.8447316160344235,0.5624372592042186,0.14588749408721924,0.5812431842966194,0.05,5.0
xgboost,xgboost_04,late_june,33647,29548,4.0,,,0.9203829930026834,0.7719593718595169,0.06900639832019806,0.7688039457459926,0.03,10.0
xgboost,xgboost_04,turn_of_month,63195,28728,4.0,,,0.8286604690431498,0.5383913887187821,0.1035526841878891,0.5834996673320026,0.03,10.0
xgboost,xgboost_04,early_july,91923,30196,4.0,,,0.8434297119902827,0.5482569310620347,0.14499346911907196,0.5856052344601963,0.03,10.0
